,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,Unnamed: 0,Unnamed: 0.1,V,W,Zn,Zr
0,,A 5.7: ER CuSi-A,,,"Brazing thin plates and or galvanized plates in the car industry and also for cladding CuMn, CuSiMn and CuZn alloys. Suitable for cladding cast iron and un- and low alloyed steels. Examples: Automobile industry, art work, cladding on steel, cast iron and copper alloys etc. 
",,,,1.0,,,bal,1733: SG-CuSi3,2.1461,,80,,,,,24373: Cu 6560,,0.75-0.95,,, CuSi 3 Laser brazing -welding wire,,,,,0.50,,,"•       High quality alloyed copper wire designed for laser welding and brazing•       The deposit is a Copper- Silicon bronze•       Sound, pore free deposits on ferrous and non-ferrous base materials•       Excellent corrosion resistance. ",,,350.0,,2.80-2.95,,"Joining thin steel plates and or galvanized plates in the car industry and also for cladding CuMn, CuSiMn and CuZn alloys. Suitable for cladding cast iron and un- and low alloyed steels.",,0.0,0.0,,,,
1,12.0,A 5.9: ER 430H Mo,,,"Stainles steel shafts, steam valves, clutch surfaces from trucks, pistons, bearings, fan blades etc.",,,0.4,2.0,,17,,8556: SG X 35CrMo17,1.4122,,45,AW,,,,14343-A:,,0.7,1.1,,1.4122,,,0.5,,,,,"Solid welding wire that combines high hardness with very good corrosion resistance, shiny weld deposit with a little higher hardness than 1.4115. The weld deposit cannot be machined with normal cutting tools, grinding is possible. Hardness approximately 45 HRc. The deposit can be tempered.",,750.0,550.0,,0.5,,"X35CrMo17, Cast steels, hardfacing pumps, shafts, seats, steam valves etc.",,1.0,1.0,,,,
2,22.0,A 5.1: E 6013,,,"Trucks, trailers, wagons, shipbuilding, yacht building, root runs in pipe welding, repair welding etc.",,,0.08,3.0,,,,1913: E 51 32 RR(C)5,,,,AW,47.0,,,2560-A: E 42 0 RC 11,,0.65,,,1000 S,,,,,,,,"1000 S is a medium thick coated electrode suitable for general construction and offers a very smooth seam surface. 1000 S is suitable for all positions; 2,5 mm can even be used in vertical down position. Medium fast freezing weld metal makes this electrode excellently suitable for root runs in vertical up position in pipe welding. The slag is self detaching and the special blue coating was developed to offer high resistance against moisture pick up.",140ºC/1hr,560.0,420.0,,0.45,,"

DIN:Unalloyed steels:Boiler plates: Pipe steels:-Shipbilding plates:Steel castings: Thin sheets:

-St 33 to St 52.3HI, HII, 17 Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, DGS-38 to GS-521623/1


W.Nr.:1.0035 to 1.05701.0345, 1.0425, 1.04811.0308 to 1.05811.0307 to 1.05821.0440, 1.0472, 1.04751.0416 to 1.0551



 ",,2.0,2.0,,,,
3,19.0,A 5.5: E 10018-D2,,,Recommended for welding high yield strength steel (>600N/mm2) in case high impact values are required at sub zero temperatures. The ideal electrode for welding MUD pipes in offshore. (Meets NACE requirements) Pipeline according API standard ranging from X65 upto X80.,,,0.09,3.0,,,,8529: EY 62 75 Mn1 MoB,,,,AW,,70.0,,18275-A: E 62 4 MnMo B 42 H5,,1.90,0.40,,10018-D2,,,,,,,0.025,"Basic electrode with excellent welding characteristics,  Hydrogen content (HD < 3 ml/100 g). Meets NACE requirements MR0175/ISO15156-2.",350?2hr,790.0,620.0,0.020,0.50,,"Designed for welding steels with yield strength >600N/mm2 in offshore as S550QL1, OPTIM 500ML, API: X70, X80, PAS 65 us, PAS 70 us, Dilimax 500, Dilimax 550, AISI 4130, 4140, 8630 and ASTM grades A182 Grade F22. ",,3.0,3.0,,,,
4,17.0,A 5.5: E 10018-G-H4,,,"Designed for welding steels with tensile strength >690N/mm2 in offshore, crane building, heavy transport, lifting etc. ",,,0.05,3.0,,0.35,,8529: EY 62 77 Mn2NiMo B H5,,,,AW ,110.0,69.0,47.0,18275-A: E 62 6 Mn2NiCrMo B 42 H5,,1.30,0.33,,10018-G,,,2.0,,,,0.025,"Mn, Ni, Cr and Mo alloyed basic electrode for welding low alloyed steels with tensile strength >690 N/mm2. Crack resistant and well suited for low-temperatures, ductility down to -60°C. Preheating, interpass temperature and post weld treatment as required for the base metal. Hydrogen content: < 3 ml / 100 g weld metal.",400?1hr,690.0,620.0,0.025,0.35,,"S620, S550, Hardox, S620Ql1, S600MC, Naxtra 63, TStE620, Weldox 500, Hardox, Domex 460 MC, Domex 500 MC, Domex 550 MC, Domex 600 MC, Domex 650 MC, L480 - L550, X65 - X80, Hardox 400, XAR 400, Dilidur 400, 20MnCr65, 28CrMn43",,4.0,4.0,,,,
5,17.0,A 5.5: E 11018-M-H4,,,"Designed for welding steels with high yield strength >690N/mm2 in offshore, crane building, heavy transport, lifting etc. ",,,0.045-0.075,3.0,,0.30-0.40,,8529: EY 69 77 Mn2NiMo B H5,,,,AW ,110.0,80.0,69.0,18275-A: E 69 6 Mn2NiCrMo B 42 H5,,1.40-1.60,0.30-0.40,,11018-H,,,1.90-2.20,,,,0.025,"Mn, Ni, Cr and Mo alloyed basic electrode for welding low alloyed steels with yield strength >690 N/mm2. Crack resistant and well suited for low-temperatures, ductility down to -60°C. Preheating, interpass temperature and post weld treatment as required for the base metal. Hydrogen content: < 3 ml / 100 g weld metal. Ceweld 11018-H is packed in the best in class multi layer vacuum pack to avoid costly and time consuming redrying of the electrodes.",400?1hr,770.0,6.0,0.025,0.30-0.45,,"Weldox 700, naxtra 70, S690, dilimax, S690QL1, S620, S550, Hardox, S620Ql1, S690QL1, S600MC, S700MC, Naxtra 63, Naxtra 70, Optim 700 mc plus, TStE620, TStE690, Weldox 500, Hardox, Domex 460 MC, Domex 500 MC, Domex 550 MC, Domex 600 MC, Domex 650 MC, Domex 700 MC,  L480 - L550, X65 - X80, Hardox 400, XAR 400, Dilidur 400, 20MnCr65, 28CrMn43.",,5.0,5.0,0.25,,,
6,14.0,A 5.5: E 12018-G,,,"Designed for welding heat treated steels with yield strength upto 900 Mpa such as XABO 900, heavy lifting earth moving equipment etc.",,,0.06,3.0,,0.75,,8529: EY 79 64 Mn2Ni1CrMoB H5,,,,AW,,47.0,,18275-A: E 78 4 Mn2Ni1CrMo B42 H5,,1.60,0.60,,12018-G,,,2.40,,,,,"Basic electrode with excellent welding characteristics, recommended for welding fine grained similar alloyed high yield strength steel (< 900 Mpa) in case high impact values are required at sub zero temperatures. Hydrogen content (HD < 4 ml/100 g).",400ºC/1hr,1030.0,7.0,,0.40,,"XABO 90, W.Nr.: 1.8925, Domex 700 MC",,6.0,6.0,,,,
7,15.0,A 5.5: E 12018-G,,,"Designed for welding heat treated steels with yield strength >960 Mpa such as S960QL and TsTE960V in crane building, heavy lifting earth moving equipment etc.",,,0.07,3.0,,0.90,,8529: EY 89 75 Mn2Ni1CrMoB H5,,,,AW,,47.0,,18275-A: E 89 4 ZB62 H5,,1.65,0.85,,12018-Mo,,,2.60,,,,,"Basic electrode with excellent welding characteristics, recommended for welding fine grained similar alloyed high yield strength steel (> 960 Mpa) in case high impact values are required at sub zero temperatures. Hydrogen content (HD < 4 ml/100 g).",300-350ºC/2hr,1050.0,0.0,,0.50,,"S960QL, TSTE 960V, Xabo 90, X96, Weldox 900 Weldox 1100, Domex 960, Domex Wear 360, XABO 90, StE890V, StE960TM, weldox 900, StE 890, S890QL1, A517, X120, StE 960, S960QL1, S1100 (till 12 mm)",,7.0,7.0,,,,
8,26.0,A 5.9: ER 2209,,,Used for pipe work and general fabrication in the offshore oil and gas and chemical process industries. Also suitable for cladding steels to obtain corrosion resistant layers.,,,0.025,2.0,,23.0,,8556: SG X2CrNiMo 22 9 3,1.4462,,,AW,80.0,,37.0,14343-A: G 22 9 3 N L ,,1.60,3.0,0.14,2209 Duplex,,,9.0,,,,,"A continuous, solid, corrosion-resistant, duplex wire for welding austenitic-ferritic stainless alloys of the 22% Cr, 5% Ni, 3% Mo types. 2209 has high general corrosion resistance. In media containing chloride and hydrogen sulphide, the alloy has a high resistance to intergranular corrosion, pitting and especially to stress corrosion. The alloy is used in a variety of applications across all industrial segments.",,730.0,560.0,,0.5,,"Welding wrought, forged or cast duplex stainless steels in the as welded condition. Also suitable for dissimilar welding of low alloyed steels and common stainless steels, UNS S31803, S32205, UR 45N & UR 45N+, 2101, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304W.Nr:  1.4162, 1.4462, X2CrNiMoN 22 5 3, 1.4362, X2CrNiN 23 4,  1.4463, 1.4460, 1.4583",,8.0,8.0,,,,
9,27.0,A 5.9: ER 2209,,,Used for pipe work and general fabrication in the offshore oil and gas and chemical process industries. Also suitable for cladding steels to obtain corrosion resistant layers.,,,0.025,2.0,,23.0,,8556: SG X2CrNiMo 22 9 3,1.4462,,,AW,100.0,,37.0,14343-A: W 22 9 3 N L ,,1.60,3.0,0.14,2209 Duplex Tig,,,9.0,,,,,"A continuous, solid, corrosion-resistant, duplex wire for welding austenitic-ferritic stainless alloys of the 22% Cr, 5% Ni, 3% Mo types. 2209 has high general corrosion resistance. In media containing chloride and hydrogen sulphide, the alloy has a high resistance to intergranular corrosion, pitting and especially to stress corrosion. The alloy is used in a variety of applications across all industrial segments.",,740.0,570.0,,0.5,,"Welding wrought, forged or cast duplex stainless steels in the as welded condition. Also suitable for dissimilar welding of low alloyed steels and common stainless steels, UNS S31803, S32205, UR 45N & UR 45N+, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304W.Nr: 1.4462, X2CrNiMoN 22 5 3, 1.4362, X2CrNiN 23 4,  1.4463, 1.4460, 1.4583",,9.0,9.0,,,,
